Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
AFG;AFGHANISTAN;120000;21628;51501;1762815;46200;65857;452964;30255;2233910;44720;5540;4754;313670;204695;2582228;113162;165836;20750;13105;7674;100330;1000;4000;146600;0;;161000;0;;;35;34503;38000;;30000;;271684;;170000;;;;250000;0;;48000;;;;;;0;;;;;;;2000;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALB;ALBANIA;;;230000;;14000;6750;;225;;400500;2500;;192110;;;;2100;8000;66;3500;;;35000;;;3200000;690;;;7111;;;5005;;;350;;;;;;;;;;;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DZA;ALGERIA;;;101;793;43;2548;59050;1305;60319;1825;27880;210511;2305;45423;215;15877;;3364;101;;43989;712;4508;204;;12184;10364;3152;;15000;1470;;8514;50;930407;30000;;;;;20000;146000;;;;200237;;30000;35912;49350;;45400;;;1250;;;;;;129250;;0;;;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;
ASM;AMERICAN SAMOA;;;;;;2500;;;;0;23060;3;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGO;ANGOLA;;1000;1833900;90684;189781;251003;98837;64343;57795;10000;358745;825;0;40353;79128;873;1113;105000;;1007;;;;;;2015525;;673;;500000;;;;80000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIA;ANGUILLA;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;0;0;;;;0;;;;;;;;;;;;;;;;;;;1250;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;
ATG;ANTIGUA AND BARBUDA;;;;;5000;;25800;;;;;;;;;5957;2025;;;3702;;;;;0;8030;;;;;;75000;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARG;ARGENTINA;350;350012;19530;0;0;67518;85000;135000;4500;252;6307;163900;17927;256950;38570;0;364000;12500;;33500;0;8000;91957;63200;2000;;4600000;165752;205000;1251238;12014;6080000;50000;;40000;20000;1700;42600;;0;100000;300;0;;0;;;212000;120000;0;;;;;;;0;;;;;;;;;5000;;;;;155000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARM;ARMENIA;;76000;;;;;;;;;0;;;;297000;;144;22000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUS;AUSTRALIA;168;8940;16000;7637;186000;36554;20400;5820;10271;4420;4265;5196;373;8608;2150;12697;15175;400;636133;931869;4011784;3033100;7000120;408;6000;2115;0;;1012;100;0;11000;0;80000;40;0;100;0;10000;0;45640;12000;;0;0;;6090;3100;;;;;;;;;;;;0;;;;;;;;;;;2100;;;;;3900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AUT;AUSTRIA;;200;0;;;0;0;0;516;900;;0;60300;;0;10000;0;0;0;0;0;0;;0;0;;;;;0;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;;;;;;;;;380;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AZE;AZERBAIJAN;;;22499;;70000;5000;;;;;;31500;;;3294;9170;700010;75000;;1658800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BHS;BAHAMAS;;1000;0;10000;;;3000;7000;;1500;9000;;;0;;0;;;;0;;;1700;;0;;0;;;;;;;;;;;;;;;;;;;;;;3;1200;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
BHR;BAHRAIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGD;BANGLADESH;5012;1532207;5658154;1672680;887390;4504550;636090;23215116;229924;1186606;36889954;553145;1701304;730750;2853011;612130;15449294;4717962;5957010;17113137;1054109;16625293;85500;20037149;2070170;5304100;55574160;30301200;3175100;2331300;30000000;27165350;481460;2037000;10001050;2150;400100;234711;4000200;;38000000;50000;25000;0;13648110;199473;15905754;200;2300000;15660000;1000800;1000000;;0;200000;;0;;;;;;;0;;;;0;;;;0;0;0;;;;0;;;;;;;;;;;0;;;25000;0;;;0;0;;;;;;;0;;0;;;;;0;;;;
BRB;BARBADOS;;;;;2500;;;1;;;880;;2000;;;;;;;0;;;;;;;;230;;;100;;;;5007;;;;;;;;;;210;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLR;BELARUS;30000;11325;130;;;;;0;1820;;;;;;0;2000;;21995;0;282;;40000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEL;BELGIUM;;0;0;71;690;0;0;2;0;210;;0;2400;;;905;140;;;800;135;600;0;;0;;;0;;0;0;1030;0;;;;;;0;;;;0;600;;;;100;0;;;0;;;;;;;0;;;350;;;;;;;;104;;;;;;;;;;;;;;;0;;6000;;0;;;;;;;;;;;;;;;;;;;;0;;;;;;
BLZ;BELIZE;;;;;0;;48000;20000;;0;;;;20000;62570;;60000;;;2600;;;;;0;;;;;;;;;;;17000;6000;;;;70000;;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEN;BENIN;;36175;55000;5840;832037;120457;159223;10884;;206;;265;452;9760;7762;57710;420527;51226;148748;123000;34000;;;0;;2411;84000;403;;475000;0;2100000;580000;;;;7200;;7;;;;115000;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMU;BERMUDA;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;40;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BTN;BHUTAN;;;;20016;;12;;;;;0;;;;1000;0;;;;;65600;;494;;;;;;;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOL;BOLIVIA;;841869;69085;92825;315896;63000;41357;824723;126600;3000;55000;58530;17231;357255;52287;7968;18238;190734;0;;215000;;40650;17665;283160;97;0;20000;310000;475;3000;3133049;30000;;15000;;178000;90000;;;18000;;;;;77;26200;;6100;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BIH;BOSNIA-HERCEGOVENIA;;;10347;;34910;13730;;0;;3100;278000;62575;;9000;803;1090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWA;BOTSWANA;;4210;;0;;5056;15;;22264;0;4960;;;;138776;;;;;5500;;;100000;;;;26625;;0;;;;1037300;;;;;;;;;;1000;;87600;;60000;;;60000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
